date,log_price,sales_latent,sales
2021-06-01,2.995732273553991,11.812730758191043,8
2021-06-02,2.995732273553991,12.957296494465346,8
2021-06-03,2.995732273553991,13.551574859994028,15
2021-06-04,2.995732273553991,13.212089911354303,11
2021-06-05,2.995732273553991,12.009085289866208,11
2021-06-06,2.995732273553991,11.09790296273243,10
2021-06-07,2.995732273553991,11.10619586231716,11
2021-06-08,2.995732273553991,11.827013070602398,14
2021-06-09,2.995732273553991,12.822056285196394,9
2021-06-10,2.995732273553991,13.644178667405468,13
2021-06-11,2.995732273553991,13.447906171810834,14
2021-06-12,2.995732273553991,12.418866081083324,8
2021-06-13,2.995732273553991,11.751928962221792,8
2021-06-14,2.995732273553991,11.911477416025186,9
2021-06-15,2.995732273553991,12.878509005738046,7
2021-06-16,2.995732273553991,13.8499929600251,15
2021-06-17,2.995732273553991,14.221110576434317,16
2021-06-18,2.995732273553991,13.821947436967132,18
2021-06-19,2.995732273553991,13.119161318909573,12
2021-06-20,2.995732273553991,12.029939491901755,14
2021-06-21,2.995732273553991,12.222869909614186,10
2021-06-22,2.995732273553991,13.370166806719626,10
2021-06-23,2.995732273553991,14.692638223457939,11
2021-06-24,2.995732273553991,14.91409584007865,15
2021-06-25,2.995732273553991,14.628440307008193,17
2021-06-26,2.995732273553991,13.463635644799975,21
2021-06-27,2.995732273553991,12.453674702170229,11
2021-06-28,2.995732273553991,12.206873591170542,13
2021-06-29,2.995732273553991,13.198895484932157,12
2021-06-30,2.995732273553991,14.57785113192758,15
2021-07-01,2.995732273553991,15.111002072652427,6
2021-07-02,2.995732273553991,14.462274750665376,16
2021-07-03,2.995732273553991,13.261904560734472,13
2021-07-04,2.995732273553991,12.535973274798259,11
2021-07-05,2.995732273553991,12.626266153570183,8
2021-07-06,2.995732273553991,13.438462270100528,4
2021-07-07,2.995732273553991,14.40775333807253,9
2021-07-08,2.995732273553991,14.68690448567709,14
2021-07-09,2.995732273553991,14.415073727127346,9
2021-07-10,2.995732273553991,13.403511410938389,14
2021-07-11,2.995732273553991,12.596337098782476,16
2021-07-12,2.995732273553991,12.945928541896809,9
2021-07-13,2.995732273553991,14.033893364828861,13
2021-07-14,2.995732273553991,14.847905475258592,9
2021-07-15,2.995732273553991,15.477129772048258,13
2021-07-16,2.995732273553991,15.222620765749719,12
2021-07-17,2.995732273553991,14.297415947336402,8
2021-07-18,2.995732273553991,13.367438034580472,12
2021-07-19,2.995732273553991,13.757865335276367,12
2021-07-20,2.995732273553991,14.613550445660572,15
2021-07-21,2.995732273553991,15.946121604758106,19
2021-07-22,2.995732273553991,16.38003583815837,12
2021-07-23,2.995732273553991,15.962377632255901,18
2021-07-24,2.995732273553991,14.914998624070424,13
2021-07-25,2.995732273553991,14.013375614534196,12
2021-07-26,2.995732273553991,13.959133940866671,16
2021-07-27,2.995732273553991,14.787066994403343,16
2021-07-28,2.995732273553991,16.11166216601627,16
2021-07-29,2.995732273553991,16.478037412818647,23
2021-07-30,2.995732273553991,16.220664010033047,12
2021-07-31,2.995732273553991,14.541308515590643,18
2021-08-01,2.995732273553991,13.45158919280704,12
2021-08-02,2.995732273553991,13.2011499090613,13
2021-08-03,2.995732273553991,14.36188192111478,21
2021-08-04,2.995732273553991,14.946371014552163,14
2021-08-05,2.995732273553991,14.981153931403608,18
2021-08-06,2.995732273553991,14.634132648109517,15
2021-08-07,2.995732273553991,13.162896760008373,13
2021-08-08,2.995732273553991,12.14256199002161,6
2021-08-09,2.995732273553991,12.103762192884718,13
2021-08-10,2.995732273553991,12.985914511533704,12
2021-08-11,2.995732273553991,14.045296699346236,13
2021-08-12,2.995732273553991,14.544985570794626,15
2021-08-13,2.995732273553991,13.940515740940583,18
2021-08-14,2.995732273553991,12.65975276617472,11
2021-08-15,2.995732273553991,11.730659751151071,7
2021-08-16,2.995732273553991,11.461045076986093,7
2021-08-17,2.995732273553991,12.27482751572794,11
2021-08-18,2.995732273553991,13.5373682977792,11
2021-08-19,2.995732273553991,13.809152107929497,8
2021-08-20,2.995732273553991,13.413324523406786,15
2021-08-21,2.995732273553991,12.367098379074955,12
2021-08-22,2.995732273553991,11.56674411707807,7
2021-08-23,2.995732273553991,11.748910501221847,19
2021-08-24,2.995732273553991,12.599717268243957,14
2021-08-25,2.995732273553991,13.518520219845458,15
2021-08-26,2.995732273553991,13.566967047408214,10
2021-08-27,2.995732273553991,12.976453274884294,14
2021-08-28,2.995732273553991,12.056602228182497,13
2021-08-29,2.995732273553991,11.232746156240994,12
2021-08-30,2.995732273553991,11.05730374469347,10
2021-08-31,2.995732273553991,12.054209048784163,19
2021-09-01,2.995732273553991,13.019430463713952,12
2021-09-02,2.995732273553991,13.50879787675327,12
2021-09-03,2.995732273553991,12.732262970579695,12
2021-09-04,2.995732273553991,11.565021207902355,13
2021-09-05,2.995732273553991,10.803506417875859,12
2021-09-06,2.995732273553991,10.817944951066707,13
2021-09-07,2.995732273553991,11.455553191242899,13
2021-09-08,2.995732273553991,12.391949786623629,15
2021-09-09,2.995732273553991,13.10322921838947,8
2021-09-10,2.995732273553991,12.532876255130983,14
2021-09-11,2.995732273553991,11.454769691986133,9
2021-09-12,2.995732273553991,10.809555669267306,18
2021-09-13,2.995732273553991,10.898857003779003,20
2021-09-14,2.995732273553991,11.631850442753597,17
2021-09-15,2.995732273553991,12.628754095626446,12
2021-09-16,2.995732273553991,13.157909887838914,8
2021-09-17,2.995732273553991,12.510846917016707,9
2021-09-18,2.995732273553991,11.533837257390376,13
2021-09-19,2.995732273553991,10.958124155965619,9
